"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CFB",5.60351915741668e-252,3.60411263441308,0.977,0.091,1.47551866453096e-247,"Acinar2","CFB"
"CPA1",6.48753349129816e-248,3.227470673612,0.7,0.039,1.70829731892863e-243,"Acinar2","CPA1"
"MUC1",4.895525342282e-242,3.09625344027023,0.977,0.091,1.2890897331297e-237,"Acinar2","MUC1"
"ANGPTL4",5.17456572615739e-233,2.23850827521106,0.823,0.061,1.36256664701176e-228,"Acinar2","ANGPTL4"
"PRSS8",7.97646367912483e-225,1.62543737043307,0.762,0.052,2.10036241598715e-220,"Acinar2","PRSS8"
"PRSS1",7.33511380909696e-218,3.56502804566353,0.792,0.061,1.93148216821141e-213,"Acinar2","PRSS1"
"SDC41",7.59091998855668e-218,3.07742671140673,0.962,0.098,1.99884105138674e-213,"Acinar2","SDC4"
"KRT71",1.25429263582609e-216,2.13581211137465,0.9,0.076,3.30280336865727e-212,"Acinar2","KRT7"
"GABBR1",5.84654808538975e-212,1.73343796152291,0.754,0.055,1.53951304184483e-207,"Acinar2","GABBR1"
"OLFM4",1.10326486313251e-203,3.62668320844012,0.854,0.082,2.90511703760053e-199,"Acinar2","OLFM4"
"DUOX2",2.61758275401047e-199,2.73283085991632,0.954,0.106,6.89261890786036e-195,"Acinar2","DUOX2"
"IL32",8.68933542744177e-197,3.34571211036548,0.985,0.118,2.28807580475397e-192,"Acinar2","IL32"
"CDC42EP1",2.08171663397109e-191,1.53286333236309,0.777,0.064,5.48157624057266e-187,"Acinar2","CDC42EP1"
"CTRB1",7.81316625716229e-180,3.51728463623045,0.831,0.083,2.05736293883598e-175,"Acinar2","CTRB1"
"TACSTD21",4.99665875411554e-177,1.8583826110252,0.908,0.093,1.3157201831337e-172,"Acinar2","TACSTD2"
"YBX3",3.44263273714627e-173,1.26878231775593,0.723,0.062,9.06514052345356e-169,"Acinar2","YBX3"
"IGFBP2",1.73626411654792e-167,2.49633062460153,0.962,0.131,4.57193067169398e-163,"Acinar2","IGFBP2"
"LCN2",4.24128287680608e-167,3.03688098741644,0.954,0.126,1.11681460712058e-162,"Acinar2","LCN2"
"CTRB2",8.23573965953635e-156,3.81564934598899,0.9,0.132,2.16863496714911e-151,"Acinar2","CTRB2"
"ZFP36L11",3.71120302007276e-155,2.11211511509724,0.954,0.127,9.77233979245559e-151,"Acinar2","ZFP36L1"
"PRSS3P2",6.49712293301325e-154,3.57853654904612,0.915,0.128,1.71082241072105e-149,"Acinar2","PRSS3P2"
"SPINK1",7.31097984517772e-154,3.49981862782748,0.992,0.174,1.9251272128322e-149,"Acinar2","SPINK1"
"NFKBIZ",1.75322880765168e-153,1.30592376564858,0.731,0.073,4.6166020963084e-149,"Acinar2","NFKBIZ"
"SERPINA31",1.52903589731501e-149,3.5552717170036,0.985,0.172,4.02625732480987e-145,"Acinar2","SERPINA3"
"C15orf48",3.95310854439471e-146,2.15743190832812,0.892,0.129,1.04093254191001e-141,"Acinar2","C15orf48"
"LYZ",6.6282448346248e-143,2.68072834939226,0.723,0.077,1.7453494298534e-138,"Acinar2","LYZ"
"TM4SF11",2.06849133636559e-142,1.75636678573816,0.892,0.116,5.44675138691788e-138,"Acinar2","TM4SF1"
"CLDN41",1.30997434644672e-141,2.03591668334459,0.946,0.145,3.4494244490635e-137,"Acinar2","CLDN4"
"CD441",6.56217349980103e-138,1.81620550573377,0.908,0.126,1.72795152596761e-133,"Acinar2","CD44"
"TSPAN15",3.44028868642652e-134,1.07938750580074,0.7,0.075,9.05896816909831e-130,"Acinar2","TSPAN15"
"LDHA",7.41223793400208e-132,1.50732332369225,0.754,0.093,1.95179049278143e-127,"Acinar2","LDHA"
"SERPINA3.11",7.21950165728437e-131,2.89583791560348,0.985,0.171,1.90103917639612e-126,"Acinar2","SERPINA3.1"
"CD241",4.38140444573124e-129,2.43187321052114,0.985,0.188,1.15371141864995e-124,"Acinar2","CD24"
"SERINC21",2.80361866012735e-126,1.34870530174551,0.738,0.088,7.38248865584733e-122,"Acinar2","SERINC2"
"SOD2",2.03022517394839e-124,2.27071763152515,0.885,0.147,5.34598892804091e-120,"Acinar2","SOD2"
"ATF3",2.51661711521484e-122,1.44624855243111,0.754,0.096,6.62675618778371e-118,"Acinar2","ATF3"
"IFITM31",1.56780830822439e-119,1.74071719371539,0.931,0.146,4.12835283721645e-115,"Acinar2","IFITM3"
